Date,Time,Seconds,Temperature,Humidity
20180622,17:40:08,1529703608.79,25.2,32.8
20180622,17:40:18,1529703618.97,24.8,33.2
20180622,17:41:57,1529703717.58,24.8,33.2
20180622,17:42:07,1529703727.75,24.8,33.3
20180622,17:42:18,1529703738.11,24.8,33.3
20180622,17:42:28,1529703748.39,24.8,33.3
20180622,17:42:38,1529703758.62,24.8,33.3
20180622,17:42:48,1529703768.94,24.7,33.3
20180622,17:42:59,1529703779.3,24.7,33.3
20180622,17:43:09,1529703789.68,24.7,33.3
20180622,17:43:19,1529703799.96,24.7,33.3
20180622,17:43:30,1529703810.31,24.7,33.3
20180622,17:43:40,1529703820.51,24.7,33.3
20180622,17:43:50,1529703830.72,24.7,33.3
20180622,17:44:00,1529703840.96,24.8,33.4
20180622,17:44:11,1529703851.34,24.7,33.4
20180622,17:44:21,1529703861.57,24.7,33.4
20180622,17:44:31,1529703871.79,24.7,33.4
20180622,17:44:50,1529703890.32,24.7,33.4
20180622,17:45:00,1529703900.61,24.7,33.4
20180622,17:45:10,1529703910.89,24.7,33.4
20180622,17:45:21,1529703921.43,24.7,33.4
20180622,17:45:31,1529703931.72,24.7,33.4
20180622,17:45:42,1529703942.09,24.7,33.4
20180622,17:45:52,1529703952.46,24.7,33.4
20180622,17:46:02,1529703962.7,24.7,33.4
20180622,17:46:13,1529703973.29,24.7,33.4
20180622,17:46:23,1529703983.42,24.7,33.4
20180622,17:46:33,1529703993.84,24.7,33.4
20180622,17:46:44,1529704004.09,24.7,33.4
20180622,17:46:54,1529704014.33,24.7,33.4
20180622,17:47:04,1529704024.33,24.7,33.4
20180622,17:47:14,1529704034.58,24.7,33.4
20180622,17:47:24,1529704044.77,24.7,33.4
20180622,17:47:35,1529704055.08,24.7,33.4
20180622,17:47:45,1529704065.42,24.7,33.4
20180622,17:47:55,1529704075.85,24.7,33.4
20180622,17:48:06,1529704086.03,24.7,33.4
20180622,17:48:16,1529704096.33,24.6,33.3
20180622,17:48:27,1529704107.07,24.7,33.4
20180622,17:48:37,1529704117.49,24.7,33.4
20180622,17:48:47,1529704127.88,24.7,33.4
20180622,17:48:58,1529704138.16,24.7,33.4
20180622,17:49:08,1529704148.36,24.7,33.4
20180622,17:49:18,1529704158.66,24.7,33.4
20180622,17:49:28,1529704168.91,24.6,33.4
20180622,17:49:39,1529704179.42,24.6,33.4
20180622,17:49:49,1529704189.63,24.6,33.4
20180622,17:49:59,1529704199.96,24.7,33.4
20180622,17:50:10,1529704210.37,24.6,33.4
20180622,17:50:20,1529704220.69,24.6,33.4
20180622,17:50:31,1529704231.52,24.6,33.4
20180622,17:50:42,1529704242.0,24.6,33.4
20180622,17:50:52,1529704252.3,24.6,33.4
20180622,17:51:02,1529704262.58,24.6,33.4
20180622,17:51:12,1529704272.89,24.7,33.5
20180622,17:51:23,1529704283.85,24.6,33.4
20180622,17:51:34,1529704294.43,24.7,33.5
20180622,17:51:44,1529704304.85,24.7,33.5
20180622,17:51:55,1529704315.29,24.6,33.4
20180622,17:52:05,1529704325.75,24.6,33.5
20180622,17:52:16,1529704336.05,24.6,33.5
20180622,17:52:26,1529704346.37,24.6,33.5
20180622,17:52:36,1529704356.74,24.6,33.5
20180622,17:55:37,1529704537.93,24.6,33.5
20180622,17:55:48,1529704548.91,24.6,33.5
20180622,17:55:59,1529704559.15,24.6,33.5
20180622,17:56:09,1529704569.48,24.7,33.5
20180622,17:56:20,1529704580.15,24.6,33.4
20180622,17:56:30,1529704590.68,24.6,33.5
20180622,17:56:41,1529704601.51,24.7,33.5
20180622,17:56:51,1529704611.78,24.7,33.5
20180622,17:57:02,1529704622.03,24.6,33.4
20180622,17:57:12,1529704632.23,24.7,33.5
20180622,17:57:22,1529704643.0,24.6,33.4
20180622,17:57:33,1529704653.25,24.7,33.5
20180622,17:57:43,1529704663.86,24.7,33.5
20180622,17:57:53,1529704673.96,24.6,33.4
20180622,17:58:04,1529704684.32,24.7,33.5
20180622,17:58:14,1529704694.71,24.6,33.4
20180622,17:58:24,1529704705.0,24.7,33.5
20180622,17:59:42,1529704782.6,24.7,33.4
20180622,17:59:52,1529704792.65,24.6,33.5
20180622,18:00:03,1529704803.13,24.6,33.5
20180622,18:00:13,1529704813.35,24.6,33.5
20180622,18:00:23,1529704823.86,24.6,33.5
20180622,18:00:34,1529704834.2,24.7,33.5
20180622,18:00:44,1529704844.67,24.6,33.4
20180622,18:00:55,1529704855.12,24.7,33.5
20180622,18:01:05,1529704865.78,24.6,33.4
20180622,18:01:16,1529704876.09,24.7,33.5
20180622,18:01:26,1529704886.42,24.6,33.4
20180622,18:01:36,1529704896.78,24.6,33.4
20180622,18:06:40,1529705200.54,24.7,33.5
20180622,18:06:50,1529705210.73,24.6,33.7
20180622,18:07:00,1529705220.79,24.6,33.7
20180622,18:07:11,1529705231.33,24.6,33.7
20180622,18:07:28,1529705248.77,24.6,33.7
20180622,18:08:28,1529705308.92,24.6,33.7
20180622,18:09:29,1529705369.52,24.6,33.7
20180622,18:10:30,1529705430.13,24.6,33.7
20180622,18:11:30,1529705490.73,24.7,33.7
20180622,18:12:31,1529705551.34,24.7,33.8
20180622,18:13:31,1529705611.94,24.7,33.7
20180622,18:14:32,1529705672.55,24.7,33.7
20180622,18:15:33,1529705733.16,24.7,33.7
20180622,18:16:33,1529705793.76,24.7,33.7
20180622,18:17:34,1529705854.4,24.7,33.7
20180622,18:18:35,1529705915.01,24.7,33.7
20180622,18:19:35,1529705975.61,24.7,33.6
20180622,18:20:35,1529706035.74,24.7,33.6
20180622,18:21:36,1529706096.34,24.7,33.6
20180622,18:22:36,1529706156.95,24.7,33.6
20180622,18:23:37,1529706217.55,24.7,33.6
20180622,18:24:38,1529706278.16,24.7,33.5
20180622,18:25:38,1529706338.76,24.7,33.5
20180622,18:26:39,1529706399.37,24.7,33.5
20180622,18:27:39,1529706459.97,24.7,33.5
20180622,18:28:40,1529706520.58,24.7,33.4
20180622,18:29:40,1529706580.71,24.7,33.4
20180622,18:30:41,1529706641.32,24.7,33.5
20180622,18:31:41,1529706701.92,24.7,33.4
20180622,18:32:42,1529706762.53,24.7,33.4
20180622,18:33:43,1529706823.13,24.7,33.4
20180622,18:34:43,1529706883.74,24.6,33.4
20180622,18:35:44,1529706944.34,24.6,33.4
20180622,18:36:44,1529707004.94,24.7,33.5
20180622,18:37:45,1529707065.55,24.7,33.5
20180622,18:38:46,1529707126.16,24.7,33.5
